output/traj10_set0_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep3_counts.csv:1389,3115,276,4,2,5,14,307,100,0.6431706216536981,0.996021536860428,0.7624453248876094,0.846932940598999
output/traj10_set0_rep3_counts.csv:1736,3115,234,2,1,12,10,309,80,0.5344188512213268,0.9994316481229182,0.6394315281653764,0.8362973005628
output/traj10_set0_rep3_counts.csv:2083,3115,256,1,3,14,8,293,76,0.5134112254217238,0.9968740646760504,0.6249226816305141,0.8245916294094381
output/traj10_set0_rep3_counts.csv:2431,3115,308,1,2,7,14,282,76,0.5707696120409808,0.9965898887375098,0.6996151794518465,0.8186444589094474
output/traj10_set0_rep3_counts.csv:2778,3115,273,2,0,7,12,291,78,0.5998690643567904,0.9982949443687547,0.7429546842043497,0.8088247843056284
output/traj10_set0_rep3_counts.csv:3125,3115,272,0,4,10,17,296,82,0.5858208300884351,0.9954531849833462,0.7315279352350164,0.8046404784072044
output/traj10_set0_rep3_counts.csv:3472,3115,256,3,4,12,8,297,83,0.5191652952651699,0.9965898887375099,0.6527870122030718,0.7980190278226169
output/traj10_set0_rep4_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep4_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep4_counts.csv:347,3115,273,6,1,9,9,297,89,0.6098839236845622,0.9968740646760504,0.6977838127308947,0.8770336260904829
output/traj10_set0_rep4_counts.csv:694,3115,288,2,4,9,13,266,81,0.6581862904027993,0.9974424165531323,0.7669271045463271,0.8604420604733061
output/traj10_set0_rep4_counts.csv:1042,3115,283,3,7,12,10,292,85,0.4866155779346913,0.9977265924916728,0.5741235038141733,0.8494737461622075
output/traj10_set0_rep4_counts.csv:1389,3115,253,4,4,11,8,281,77,0.6148161276133679,0.9974424165531323,0.7375982914056173,0.8356320482776327
output/traj10_set0_rep4_counts.csv:1736,3115,215,3,0,5,13,288,96,0.5239161300856178,0.9963057127989688,0.6364915908626572,0.8261373673121591
output/traj10_set0_rep4_counts.csv:2083,3115,240,1,1,7,10,312,85,0.5368051981825349,0.9980107684302139,0.6598093488946782,0.815323161848095
output/traj10_set0_rep4_counts.csv:2431,3115,200,3,2,9,6,295,71,0.5193112449507459,0.9971582406145915,0.6421331952578719,0.8109962745918281
output/traj10_set0_rep4_counts.csv:2778,3115,318,2,2,9,9,304,87,0.5628157332414994,0.9982949443687549,0.6985704557947641,0.8070564301175116
output/traj10_set0_rep4_counts.csv:3125,3115,308,3,1,10,18,320,95,0.611134707559631,0.9960215368604279,0.7667250577292654,0.8002456716055487
output/traj10_set0_rep4_counts.csv:3472,3115,265,1,1,12,10,315,84,0.5411066645736362,0.9963057127989688,0.6851778273454231,0.7926318749158872
output/traj10_set0_rep5_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep5_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep5_counts.csv:347,3115,253,1,0,10,6,283,90,0.6803320553036821,0.9980107684302139,0.7803848753449704,0.8735440957965902
output/traj10_set0_rep5_counts.csv:694,3115,296,2,2,12,8,249,78,0.6082655711616718,0.9980107684302137,0.7095257255049199,0.8590019968292983
output/traj10_set0_rep5_counts.csv:1042,3115,241,1,2,13,9,245,87,0.553384425040386,0.9965898887375099,0.6517840319199408,0.8519122021817465
output/traj10_set0_rep5_counts.csv:1389,3115,392,4,2,12,13,296,77,0.6010303840751041,0.9977265924916732,0.7165608170941459,0.8407892761695085
output/traj10_set0_rep5_counts.csv:1736,3115,294,3,2,5,10,282,110,0.6259375172434164,0.9960215368604277,0.7576171192843223,0.8295106735395898
output/traj10_set0_rep5_counts.csv:2083,3115,268,5,2,4,12,295,83,0.6972314803616803,0.995453184983346,0.856758582108777,0.8176197497705724
output/traj10_set0_rep5_counts.csv:2431,3115,252,4,5,12,14,274,71,0.5958139726013559,0.9965898887375095,0.739267280904648,0.8085378069227186
output/traj10_set0_rep5_counts.csv:2778,3115,200,4,1,5,10,289,100,0.5411327358247904,0.9982949443687547,0.6739928908514472,0.8041378750865592
output/traj10_set0_rep5_counts.csv:3125,3115,198,1,1,7,9,314,86,0.5551940140883702,0.9980107684302141,0.6949199018777892,0.8005030546263507
output/traj10_set0_rep5_counts.csv:3472,3115,250,2,0,8,9,267,79,0.5022647321737529,0.9954531849833462,0.641368502278995,0.7866714911722582
output/traj10_set0_rep6_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep6_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep6_counts.csv:347,3115,229,2,3,9,11,346,81,0.6826433940239378,0.9946006571677236,0.7819579362445077,0.8777645055987572
output/traj10_set0_rep6_counts.csv:694,3115,277,3,2,9,7,293,104,0.6226156137973116,0.9988632962458366,0.7232230124770374,0.8618443470042486
output/traj10_set0_rep6_counts.csv:1042,3115,291,3,3,12,13,284,94,0.5922571533013146,0.9965898887375099,0.6954680795969932,0.8545686315824323
output/traj10_set0_rep6_counts.csv:1389,3115,311,1,0,16,15,298,87,0.5631035164148045,0.996021536860428,0.6735126345615919,0.839418744974553
output/traj10_set0_rep6_counts.csv:1736,3115,328,1,4,12,13,279,86,0.5743137873866738,0.9988632962458365,0.6939912190959565,0.828744249543692
output/traj10_set0_rep6_counts.csv:2083,3115,209,2,1,8,13,280,81,0.5933129912968544,0.9985791203072957,0.7267955220138198,0.8176148074539159
output/traj10_set0_rep6_counts.csv:2431,3115,299,1,2,15,12,284,91,0.6223992845707568,0.9974424165531321,0.77299025724561,0.8072389018193857
output/traj10_set0_rep6_counts.csv:2778,3115,295,2,1,6,11,283,79,0.5611602540715891,0.9965898887375099,0.7055338067552389,0.7983263750750348
output/traj10_set0_rep6_counts.csv:3125,3115,284,3,0,10,9,285,72,0.565333427411671,0.9968740646760506,0.7177668928283918,0.7902846127493757
output/traj10_set0_rep6_counts.csv:3472,3115,233,1,1,14,9,318,88,0.5315082957916891,0.9954531849833465,0.6810383933911118,0.7840061107491255
output/traj10_set0_rep7_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set0_rep7_counts.csv:0,757,0,0,0,0,0,0,0,0.887860911283044,1.0,1.0,0.887860911283044
output/traj10_set0_rep7_counts.csv:347,3115,280,4,5,8,10,293,91,0.6576102332543244,0.9968740646760504,0.7523282352731095,0.8768373377115031
output/traj10_set0_rep7_counts.csv:694,3115,195,4,4,8,7,296,73,0.6799364385800453,0.996305712798969,0.7869518213130331,0.8674845650371837
output/traj10_set0_rep7_counts.csv:1042,3115,275,3,4,17,10,293,87,0.6149998378228396,0.9954531849833461,0.7209609541547127,0.856637353823189
