stat_name,stat_value,file
mean_ext_bl,0.008759079943076923,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
mean_divergence,0.039636886052370826,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
mean_diversity,0.05131362586538332,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
divergence_slope,2.0569268833636856e-5,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
diversity_slope,2.621038615045245e-5,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
transition_score,4.909090909090909,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run13_rep0_tr_summary_stats.csv
stat_name,stat_value,file
mean_leaf_depth,7.361538461538461,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
mean_bl,0.005879925823346304,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
mean_int_bl,0.003776126577952756,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
mean_ext_bl,0.007935175855384615,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
mean_divergence,0.02806691606620111,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
mean_diversity,0.04087889322074009,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
divergence_slope,1.3809267107704054e-5,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
diversity_slope,1.530198276448554e-5,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
transition_score,5.181818181818182,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run14_rep0_tr_summary_stats.csv
stat_name,stat_value,file
mean_leaf_depth,7.538461538461538,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run15_rep0_tr_summary_stats.csv
mean_bl,0.007555965142412451,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run15_rep0_tr_summary_stats.csv
mean_int_bl,0.005766779515748032,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run15_rep0_tr_summary_stats.csv
mean_ext_bl,0.00930386187,output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0.001_mutrate4e-05_run15_rep0_tr_summary_stats.csv
